entity,example,intent,norm
TRAININGJK,추리닝 쟈켓,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,추리닝 쟈킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,추리닝 상의,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 자킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 재킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 자켓,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 쟈켓,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 쟈킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,츄리닝 상의,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,바람막이,CLOTHES-TYPE,트레이닝 자켓
FLEECEJK,양털 후리스,CLOTHES-TYPE,후리스
FLEECEJK,양털 후리스 자킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 후리스 재킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 후리스 자켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 후리스 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 후리스 쟈킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스 자킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스 재킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스 자켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 플리스 쟈킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이 자킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이 재킷,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이 자켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,양털 뽀글이 쟈킷,CLOTHES-TYPE,후리스
FLEECEJK,후리스,CLOTHES-TYPE,후리스
FLEECEJK,후리스 자킷,CLOTHES-TYPE,후리스
FLEECEJK,후리스 재킷,CLOTHES-TYPE,후리스
FLEECEJK,후리스 자켓,CLOTHES-TYPE,후리스
FLEECEJK,후리스 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,후리스 쟈킷,CLOTHES-TYPE,후리스
FLEECEJK,플리스,CLOTHES-TYPE,후리스
FLEECEJK,플리스 자킷,CLOTHES-TYPE,후리스
FLEECEJK,플리스 재킷,CLOTHES-TYPE,후리스
FLEECEJK,플리스 자켓,CLOTHES-TYPE,후리스
FLEECEJK,플리스 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,플리스 쟈킷,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이 자킷,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이 재킷,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이 자켓,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이 쟈켓,CLOTHES-TYPE,후리스
FLEECEJK,뽀글이 쟈킷,CLOTHES-TYPE,후리스
ANORAKJK,아노락,CLOTHES-TYPE,아노락
ANORAKJK,아노락 자킷,CLOTHES-TYPE,아노락
ANORAKJK,아노락 재킷,CLOTHES-TYPE,아노락
ANORAKJK,아노락 자켓,CLOTHES-TYPE,아노락
ANORAKJK,아노락 쟈켓,CLOTHES-TYPE,아노락
ANORAKJK,아노락 쟈킷,CLOTHES-TYPE,아노락
SUIT,블레이저,CLOTHES-TYPE,슈트
SUIT,블레이저 자킷,CLOTHES-TYPE,슈트
SUIT,블레이저 재킷,CLOTHES-TYPE,슈트
SUIT,블레이저 자켓,CLOTHES-TYPE,슈트
SUIT,블레이저 쟈켓,CLOTHES-TYPE,슈트
